date_eom,date,days,id_meter,water_m3,cons,av_day
2020-05-31,2020-05-01,30,3,26.988,11.9,0.3966666667
2020-06-30,2020-06-01,31,3,39.771,12.783,0.4123548387
2020-07-31,2020-07-01,30,3,48.39,8.619,0.2873
2020-08-31,2020-08-01,31,3,54.501,6.111,0.1971290323
2020-09-30,2020-09-01,31,3,60.72,6.219,0.2006129032
2020-10-31,2020-10-01,30,3,69.435,8.715,0.2905
2020-11-30,2020-11-01,31,3,78.821,9.386,0.3027741935
2020-12-31,2020-12-02,31,3,87.637,8.816,0.2843870968
2021-01-31,2021-01-01,30,3,96.629,8.992,0.2997333333
2021-02-28,2021-02-02,32,3,104.951,8.322,0.2600625
2021-03-31,2021-03-01,27,3,112.687,7.736,0.2865185185
2021-03-31,2021-03-04,3,3,,,
2021-04-30,2021-04-01,28,3,123.56,10.873,0.3507419355
2021-05-31,2021-05-01,30,3,135.921,12.361,0.4120333333
2021-05-31,2021-05-07,6,3,138.645,2.724,0.454
2021-06-30,2021-06-02,26,3,147.591,8.946,0.3440769231
2021-07-31,2021-07-02,30,3,155.826,8.235,0.2745
2021-07-31,2021-07-17,15,3,155.826,0,0
2021-07-31,2021-07-27,10,3,156.881,1.055,0.1055
2021-08-31,2021-08-01,5,3,158.231,1.35,0.27
2021-09-30,2021-08-31,30,3,166.651,8.42,0.2806666667
2021-10-31,2021-10-01,31,3,176.241,9.59,0.3093548387
2021-11-30,2021-11-01,31,3,185.984,9.743,0.3142903226
2021-12-31,2021-11-30,29,3,194.592,8.608,0.2968275862
2022-01-31,2022-01-01,32,3,203.671,9.079,0.28371875
2022-02-28,,,3,,,
2022-03-31,2022-03-04,62,3,221.948,18.277,0.2947903226
2022-04-30,2022-04-01,28,3,231.001,9.053,0.3233214286
2022-05-31,2022-05-01,30,3,240.186,9.185,0.3061666667
2022-06-30,2022-06-03,33,3,250.271,10.085,0.3056060606
2022-06-30,2022-06-27,24,3,255.547,5.276,0.2198333333
2022-07-31,2022-07-22,25,3,255.547,0,0
2022-08-31,2022-08-01,10,3,257.421,1.874,0.1874
2022-08-31,2022-08-27,26,3,263.19,5.769,0.2218846154
2022-09-30,,,3,,,
2022-10-31,,,3,,,
2022-11-30,2022-11-02,67,3,280.774,17.584,0.2624477612
2022-11-30,2022-11-06,4,3,281.893,1.119,0.27975
2022-12-31,2022-12-02,26,3,288.301,6.408,0.2464615385
2023-01-31,2023-01-01,30,3,296.231,7.93,0.2643333333
2023-02-28,2023-02-02,32,3,302.895,6.664,0.20825
2023-03-31,2023-03-03,29,3,309.465,6.57,0.2265517241
2023-04-30,2023-04-02,30,3,318.386,8.921,0.2973666667
2023-04-30,2023-04-06,4,3,319.641,1.255,0.31375
2023-05-31,2023-05-03,27,3,325.797,6.156,0.228
2023-06-30,2023-06-01,29,3,333.602,7.805,0.269137931
2023-06-30,2023-06-17,16,3,338.021,4.419,0.2761875
2023-06-30,2023-06-22,5,3,339.831,1.81,0.362
2023-07-31,2023-07-05,13,3,343.056,3.225,0.2480769231
2023-08-31,2023-08-03,29,3,345.171,2.115,0.07293103448
2023-08-31,2023-08-10,7,3,345.905,0.734,0.1048571429
2023-09-30,2023-09-01,22,3,350.941,5.036,0.2289090909
2023-10-31,,,3,,,
2023-11-30,2023-11-01,61,3,365.791,14.85,0.243442623
2023-12-31,2023-12-04,33,3,374.511,8.72,0.2642424242
2024-01-31,2024-01-01,28,3,380.91,6.399,0.2285357143
2024-02-29,2024-02-03,33,3,389.949,9.039,0.2739090909
2024-03-31,2024-03-02,28,3,397.351,7.402,0.2643571429
2024-04-30,2024-04-07,36,3,407.061,9.71,0.2697222222
2024-05-31,2024-05-01,24,3,413.556,6.495,0.270625
2024-06-30,2024-06-01,31,3,420.621,7.065,0.2279032258
