date_eom,date,days,id_meter,power_kwh,cons,av_day
2020-06-30,2020-06-01,31,4,56300,83.7,2.7
2020-07-31,2020-07-01,30,4,56385.6,85.6,2.853333333
2020-08-31,2020-08-01,31,4,56472.6,87,2.806451613
2020-09-30,2020-09-01,31,4,56569.2,96.6,3.116129032
2020-10-31,2020-10-01,30,4,56668.5,99.3,3.31
2020-11-30,2020-11-01,31,4,56789.5,121,3.903225806
2020-12-31,2020-12-02,31,4,56904.5,115,3.709677419
2021-01-31,2021-01-01,30,4,57010.9,106.4,3.546666667
2021-02-28,2021-02-02,32,4,57135.6,124.7,3.896875
2021-03-31,2021-03-01,27,4,57227.8,92.2,3.414814815
2021-03-31,2021-03-04,3,4,57234.2,6.4,2.133333333
2021-04-30,2021-04-01,28,5,104.9,93.2,3.328571429
2021-05-31,2021-05-01,30,5,215.2,110.3,3.676666667
2021-05-31,2021-05-07,6,5,241.6,26.4,4.4
2021-06-30,2021-06-02,26,5,332.3,90.7,3.488461538
2021-07-31,2021-07-02,30,5,421.8,89.5,2.983333333
2021-07-31,2021-07-17,15,5,429.3,7.5,0.5
2021-07-31,2021-07-27,10,5,456.1,26.8,2.68
2021-08-31,2021-08-01,5,5,468.4,12.3,2.46
2021-09-30,2021-08-31,30,5,558.1,89.7,2.99
2021-10-31,2021-10-01,31,5,646.9,88.8,2.864516129
2021-11-30,2021-11-01,31,5,760.3,113.4,3.658064516
2021-12-31,2021-11-30,29,5,862.7,102.4,3.531034483
2022-01-31,2022-01-01,32,5,996.6,133.9,4.184375
2022-02-28,,,5,,,
2022-03-31,2022-03-04,62,5,1222.8,226.2,3.648387097
2022-04-30,2022-04-01,28,5,1320.2,97.4,3.478571429
2022-05-31,2022-05-01,30,5,1404.7,84.5,2.816666667
2022-06-30,2022-06-03,33,5,1492.7,88,2.666666667
2022-06-30,2022-06-27,24,5,1551.6,58.9,2.454166667
2022-07-31,2022-07-22,25,5,1552,0.4,0.016
2022-08-31,2022-08-01,10,5,1576.3,24.3,2.43
2022-08-31,2022-08-27,26,5,1649,72.7,2.796153846
2022-09-30,,,5,,,
2022-10-31,,,5,,,
2022-11-30,2022-11-02,67,5,1825.8,176.8,2.63880597
2022-11-30,2022-11-06,4,5,1838.7,12.9,3.225
2022-12-31,2022-12-02,26,5,1913.3,74.6,2.869230769
2023-01-31,2023-01-01,30,5,2034.3,121,4.033333333
2023-02-28,2023-02-02,32,5,2148.8,114.5,3.578125
2023-03-31,2023-03-03,29,5,2260.7,111.9,3.85862069
2023-04-30,2023-04-02,30,5,2377.2,116.5,3.883333333
2023-04-30,2023-04-06,4,5,2391,13.8,3.45
2023-05-31,2023-05-03,27,5,2467.3,76.3,2.825925926
2023-06-30,2023-06-01,29,5,2554,86.7,2.989655172
2023-06-30,2023-06-17,16,5,2596.7,42.7,2.66875
2023-06-30,2023-06-22,5,5,2609.9,13.2,2.64
2023-07-31,2023-07-05,13,5,2648.4,38.5,2.961538462
2023-08-31,2023-08-03,29,5,2690.1,41.7,1.437931034
2023-08-31,2023-08-10,7,5,2704.2,14.1,2.014285714
2023-09-30,2023-09-01,22,5,2769.4,65.2,2.963636364
2023-10-31,,,5,,,
2023-11-30,2023-11-01,61,5,2982.6,213.2,3.495081967
2023-12-31,2023-12-04,33,5,3117.3,134.7,4.081818182
2024-01-31,2024-01-01,28,5,3222.6,105.3,3.760714286
2024-02-29,2024-02-03,33,5,3366.1,143.5,4.348484848
2024-03-31,2024-03-02,28,5,3468.6,102.5,3.660714286
2024-04-30,2024-04-07,36,5,3591.9,123.3,3.425
2024-05-31,2024-05-01,24,5,3683.2,91.3,3.804166667
2024-06-30,2024-06-01,31,5,3793.1,109.9,3.54516129
