date,id_meter,gas_m3,calc_cons
2014-09-04,1.0,38911.506,
2014-09-05,1.0,38912.741875,1.2358749999984866
2014-09-06,1.0,38913.97775,1.2358749999984866
2014-09-07,1.0,38915.213625,1.2358749999984866
2014-09-08,1.0,38916.4495,1.2358750000057626
2014-09-09,1.0,38917.685375,1.2358749999984866
2014-09-10,1.0,38918.92125,1.2358749999984866
2014-09-11,1.0,38920.157125,1.2358749999984866
2014-09-12,1.0,38921.393,1.2358749999984866
2014-09-13,1.0,38925.349294736836,3.9562947368394816
2014-09-14,1.0,38929.30558947368,3.9562947368467576
2014-09-15,1.0,38933.26188421052,3.9562947368394816
2014-09-16,1.0,38937.21817894736,3.9562947368394816
2014-09-17,1.0,38941.17447368421,3.9562947368467576
2014-09-18,1.0,38945.13076842105,3.9562947368394816
2014-09-19,1.0,38949.087063157895,3.9562947368467576
2014-09-20,1.0,38953.043357894734,3.9562947368394816
2014-09-21,1.0,38956.99965263157,3.9562947368394816
2014-09-22,1.0,38960.95594736842,3.9562947368467576
2014-09-23,1.0,38964.91224210526,3.9562947368394816
2014-09-24,1.0,38968.8685368421,3.9562947368394816
2014-09-25,1.0,38972.824831578946,3.9562947368467576
2014-09-26,1.0,38976.781126315786,3.9562947368394816
2014-09-27,1.0,38980.73742105263,3.9562947368467576
2014-09-28,1.0,38984.69371578947,3.9562947368394816
2014-09-29,1.0,38988.65001052631,3.9562947368394816
2014-09-30,1.0,38992.60630526316,3.9562947368467576
2014-10-01,1.0,38996.5626,3.9562947368394816
2014-10-02,1.0,39000.51889473684,3.9562947368394816
2014-10-03,1.0,39004.475189473684,3.9562947368467576
2014-10-04,1.0,39008.43148421052,3.9562947368394816
2014-10-05,1.0,39012.38777894736,3.9562947368394816
2014-10-06,1.0,39016.34407368421,3.9562947368467576
2014-10-07,1.0,39020.30036842105,3.9562947368394816
2014-10-08,1.0,39024.256663157896,3.9562947368467576
2014-10-09,1.0,39028.212957894735,3.9562947368394816
2014-10-10,1.0,39032.169252631575,3.9562947368394816
2014-10-11,1.0,39036.12554736842,3.9562947368467576
2014-10-12,1.0,39040.08184210526,3.9562947368394816
2014-10-13,1.0,39044.0381368421,3.9562947368394816
2014-10-14,1.0,39047.99443157895,3.9562947368467576
2014-10-15,1.0,39051.95072631579,3.9562947368394816
2014-10-16,1.0,39055.90702105263,3.9562947368467576
2014-10-17,1.0,39059.86331578947,3.9562947368394816
2014-10-18,1.0,39063.81961052631,3.9562947368394816
2014-10-19,1.0,39067.77590526316,3.9562947368467576
2014-10-20,1.0,39071.7322,3.9562947368394816
2014-10-21,1.0,39075.68849473684,3.9562947368394816
2014-10-22,1.0,39079.644789473685,3.9562947368467576
2014-10-23,1.0,39083.601084210524,3.9562947368394816
2014-10-24,1.0,39087.557378947364,3.9562947368394816
2014-10-25,1.0,39091.51367368421,3.9562947368467576
2014-10-26,1.0,39095.46996842105,3.9562947368394816
2014-10-27,1.0,39099.4262631579,3.9562947368467576
2014-10-28,1.0,39103.382557894736,3.9562947368394816
2014-10-29,1.0,39107.338852631576,3.9562947368394816
2014-10-30,1.0,39111.29514736842,3.9562947368467576
2014-10-31,1.0,39115.25144210526,3.9562947368394816
2014-11-01,1.0,39119.2077368421,3.9562947368394816
2014-11-02,1.0,39123.16403157895,3.9562947368467576
2014-11-03,1.0,39127.12032631579,3.9562947368394816
2014-11-04,1.0,39131.076621052634,3.9562947368467576
2014-11-05,1.0,39135.032915789474,3.9562947368394816
2014-11-06,1.0,39138.98921052631,3.9562947368394816
2014-11-07,1.0,39142.94550526316,3.9562947368467576
2014-11-08,1.0,39146.9018,3.9562947368394816
2014-11-09,1.0,39150.85809473684,3.9562947368394816
2014-11-10,1.0,39154.814389473686,3.9562947368467576
2014-11-11,1.0,39158.770684210525,3.9562947368394816
2014-11-12,1.0,39162.726978947365,3.9562947368394816
2014-11-13,1.0,39166.68327368421,3.9562947368467576
2014-11-14,1.0,39170.63956842105,3.9562947368394816
2014-11-15,1.0,39174.5958631579,3.9562947368467576
2014-11-16,1.0,39178.55215789474,3.9562947368394816
2014-11-17,1.0,39182.50845263158,3.9562947368394816
2014-11-18,1.0,39186.46474736842,3.9562947368467576
2014-11-19,1.0,39190.42104210526,3.9562947368394816
2014-11-20,1.0,39194.3773368421,3.9562947368394816
2014-11-21,1.0,39198.33363157895,3.9562947368467576
2014-11-22,1.0,39202.28992631579,3.9562947368394816
2014-11-23,1.0,39206.246221052636,3.9562947368467576
2014-11-24,1.0,39210.202515789475,3.9562947368394816
2014-11-25,1.0,39214.158810526314,3.9562947368394816
2014-11-26,1.0,39218.11510526316,3.9562947368467576
2014-11-27,1.0,39222.0714,3.9562947368394816
