date,id_meter,power_kwh,calc_cons
2014-09-04,4.0,51419.3,
2014-09-05,4.0,51422.141747572816,2.841747572812892
2014-09-06,4.0,51424.983495145636,2.841747572820168
2014-09-07,4.0,51427.82524271845,2.841747572812892
2014-09-08,4.0,51430.66699029126,2.841747572812892
2014-09-09,4.0,51433.50873786408,2.841747572820168
2014-09-10,4.0,51436.350485436895,2.841747572812892
2014-09-11,4.0,51439.192233009715,2.841747572820168
2014-09-12,4.0,51442.03398058253,2.841747572812892
2014-09-13,4.0,51444.87572815534,2.841747572812892
2014-09-14,4.0,51447.71747572816,2.841747572820168
2014-09-15,4.0,51450.559223300974,2.841747572812892
2014-09-16,4.0,51453.40097087379,2.841747572812892
2014-09-17,4.0,51456.24271844661,2.841747572820168
2014-09-18,4.0,51459.08446601942,2.841747572812892
2014-09-19,4.0,51461.92621359223,2.841747572812892
2014-09-20,4.0,51464.76796116505,2.841747572820168
2014-09-21,4.0,51467.609708737866,2.841747572812892
2014-09-22,4.0,51470.45145631068,2.841747572812892
2014-09-23,4.0,51473.2932038835,2.841747572820168
2014-09-24,4.0,51476.13495145631,2.841747572812892
2014-09-25,4.0,51478.97669902913,2.841747572820168
2014-09-26,4.0,51481.818446601945,2.841747572812892
2014-09-27,4.0,51484.66019417476,2.841747572812892
2014-09-28,4.0,51487.50194174758,2.841747572820168
2014-09-29,4.0,51490.34368932039,2.841747572812892
2014-09-30,4.0,51493.1854368932,2.841747572812892
2014-10-01,4.0,51496.027184466024,2.841747572820168
2014-10-02,4.0,51498.86893203884,2.841747572812892
2014-10-03,4.0,51501.71067961165,2.841747572812892
2014-10-04,4.0,51504.55242718447,2.841747572820168
2014-10-05,4.0,51507.39417475728,2.841747572812892
2014-10-06,4.0,51510.235922330095,2.841747572812892
2014-10-07,4.0,51513.077669902916,2.841747572820168
2014-10-08,4.0,51515.91941747573,2.841747572812892
2014-10-09,4.0,51518.76116504855,2.841747572820168
2014-10-10,4.0,51521.60291262136,2.841747572812892
2014-10-11,4.0,51524.444660194175,2.841747572812892
2014-10-12,4.0,51527.286407766995,2.841747572820168
2014-10-13,4.0,51530.12815533981,2.841747572812892
2014-10-14,4.0,51532.96990291262,2.841747572812892
2014-10-15,4.0,51535.81165048544,2.841747572820168
2014-10-16,4.0,51538.65339805825,2.841747572812892
2014-10-17,4.0,51541.49514563107,2.841747572812892
2014-10-18,4.0,51544.33689320389,2.841747572820168
2014-10-19,4.0,51547.1786407767,2.841747572812892
2014-10-20,4.0,51550.02038834952,2.841747572820168
2014-10-21,4.0,51552.86213592233,2.841747572812892
2014-10-22,4.0,51555.703883495145,2.841747572812892
2014-10-23,4.0,51558.545631067966,2.841747572820168
2014-10-24,4.0,51561.38737864078,2.841747572812892
2014-10-25,4.0,51564.22912621359,2.841747572812892
2014-10-26,4.0,51567.07087378641,2.841747572820168
2014-10-27,4.0,51569.912621359224,2.841747572812892
2014-10-28,4.0,51572.75436893204,2.841747572812892
2014-10-29,4.0,51575.59611650486,2.841747572820168
2014-10-30,4.0,51578.43786407767,2.841747572812892
2014-10-31,4.0,51581.27961165048,2.841747572812892
2014-11-01,4.0,51584.1213592233,2.841747572820168
2014-11-02,4.0,51586.963106796116,2.841747572812892
2014-11-03,4.0,51589.80485436894,2.841747572820168
2014-11-04,4.0,51592.64660194175,2.841747572812892
2014-11-05,4.0,51595.48834951456,2.841747572812892
2014-11-06,4.0,51598.33009708738,2.841747572820168
2014-11-07,4.0,51601.171844660195,2.841747572812892
2014-11-08,4.0,51604.01359223301,2.841747572812892
2014-11-09,4.0,51606.85533980583,2.841747572820168
2014-11-10,4.0,51609.69708737864,2.841747572812892
2014-11-11,4.0,51612.538834951454,2.841747572812892
2014-11-12,4.0,51615.380582524274,2.841747572820168
2014-11-13,4.0,51618.22233009709,2.841747572812892
2014-11-14,4.0,51621.06407766991,2.841747572820168
2014-11-15,4.0,51623.90582524272,2.841747572812892
2014-11-16,4.0,51626.74757281553,2.841747572812892
2014-11-17,4.0,51629.58932038835,2.841747572820168
2014-11-18,4.0,51632.431067961166,2.841747572812892
2014-11-19,4.0,51635.27281553398,2.841747572812892
2014-11-20,4.0,51638.1145631068,2.841747572820168
2014-11-21,4.0,51640.95631067961,2.841747572812892
2014-11-22,4.0,51643.798058252425,2.841747572812892
2014-11-23,4.0,51646.639805825245,2.841747572820168
2014-11-24,4.0,51649.48155339806,2.841747572812892
2014-11-25,4.0,51652.32330097087,2.841747572812892
2014-11-26,4.0,51655.16504854369,2.841747572820168
2014-11-27,4.0,51658.006796116504,2.841747572812892
2014-11-28,4.0,51660.848543689324,2.841747572820168
2014-11-29,4.0,51663.69029126214,2.841747572812892
2014-11-30,4.0,51666.53203883495,2.841747572812892
2014-12-01,4.0,51669.37378640777,2.841747572820168
2014-12-02,4.0,51672.21553398058,2.841747572812892
2014-12-03,4.0,51675.057281553396,2.841747572812892
2014-12-04,4.0,51677.899029126216,2.841747572820168
2014-12-05,4.0,51680.74077669903,2.841747572812892
2014-12-06,4.0,51683.58252427184,2.841747572812892
2014-12-07,4.0,51686.42427184466,2.841747572820168
2014-12-08,4.0,51689.266019417475,2.841747572812892
2014-12-09,4.0,51692.10776699029,2.841747572812892
2014-12-10,4.0,51694.94951456311,2.841747572820168
2014-12-11,4.0,51697.79126213592,2.841747572812892
2014-12-12,4.0,51700.63300970874,2.841747572820168
2014-12-13,4.0,51703.474757281554,2.841747572812892
2014-12-14,4.0,51706.31650485437,2.841747572812892
2014-12-15,4.0,51709.15825242719,2.841747572820168
