date,id_meter,power_kwh,calc_cons
2014-09-30,4.0,1389318.5533980583,73.88543689320068
2014-10-31,4.0,1597698.255339806,88.09417475727969
2014-11-30,4.0,1548759.8009708738,85.2524271844668
2014-12-31,4.0,1603017.101966389,81.23192055591062
2015-01-31,4.0,1605363.2776649746,73.9121827411218
2015-02-28,4.0,1451974.943147208,66.75939086294238
2015-03-31,4.0,1609724.0964467004,73.91218274111452
2015-04-30,4.0,1559979.114213198,71.52791878172866
2015-05-31,4.0,1614232.7395939087,73.91218274111452
2015-06-30,4.0,1564342.3172588833,71.52791878172138
2015-07-31,4.0,1617729.1114285714,22.475692530824745
2015-08-31,4.0,1619476.4028571427,76.30428571428638
2015-09-30,4.0,1569487.4357142858,73.84285714285943
2015-10-31,4.0,1624244.7469387755,83.64510204081307
2015-11-30,4.0,1574351.3030612245,85.42465986394382
2015-12-31,4.0,1629582.0999999999,88.40416666666715
2016-01-31,4.0,1632393.15,94.72386363636906
2016-02-29,4.0,1529763.3499999999,87.05649350649037
2016-03-31,4.0,1637976.0,90.67811059908126
2016-04-30,4.0,1587951.5999999999,96.06903225805581
2016-05-31,4.0,1643794.0999999999,92.19225806451868
2016-06-30,4.0,1593287.75,75.95107526881475
2016-07-31,4.0,1648732.45,75.00595238095411
2016-08-31,4.0,1651041.8,73.3907142857206
2016-09-30,4.0,1600309.958108108,74.43756756756193
2016-10-31,4.0,1655017.568918919,36.32027027026925
2016-11-30,4.0,1602707.08011583,37.20501930501632
2016-12-31,4.0,1657551.8428571427,52.25714285714639
2017-01-31,4.0,1658424.88685446,5.5741784037527395
2017-02-28,4.0,1498080.6807511738,5.034741784038488
2017-03-31,4.0,1658753.7633802816,5.5741784037600155
2017-04-30,4.0,1605410.1056338027,5.394366197186173
2017-05-31,4.0,1659093.7882629107,5.5741784037527395
2017-06-30,4.0,1605739.161971831,5.394366197186173
2017-07-31,4.0,1659433.81314554,5.5741784037527395
2017-08-31,4.0,1660413.4000000001,61.165526492288336
2017-09-30,4.0,1609007.4,73.64060150375735
2017-10-31,4.0,1664798.9,68.85432937181758
2017-11-30,4.0,1613202.45,74.08185483871057
2017-12-31,4.0,1669338.9000000001,75.32137096774386
2018-01-31,4.0,1671626.3,72.67419354838785
2018-02-28,4.0,1511867.75,71.0955069124393
2018-03-31,4.0,1676139.7,76.19158986175171
2018-04-30,4.0,1624203.1,66.06150537633948
2018-05-31,4.0,1680310.6,61.12881720430596
2018-06-30,4.0,1628007.7,69.46451612903184
2018-07-31,4.0,1684609.8909090909,76.70909090909117
2018-08-31,4.0,1686806.071590909,64.85340909090883
2018-09-30,4.0,1634420.4375,70.875
2018-10-31,4.0,1691135.5499999998,73.2972826086916
2018-11-30,4.0,1638933.6470588236,83.92992327365937
2018-12-31,4.0,1696365.9529411765,95.55294117647281
2019-01-31,4.0,1699538.8,109.1468690702095
2019-02-28,4.0,1537845.68,88.85548387096787
2019-03-31,4.0,1705632.92,106.80413793103071
2019-04-30,4.0,1653442.9,81.00252873563295
2019-05-31,4.0,1711123.2,85.3184946236579
2019-06-30,4.0,1658302.875,73.07983870968019
2019-07-31,4.0,1715628.3083333333,55.641666666662786
2019-08-31,4.0,1717733.7104166667,87.37708333334012
2019-09-30,4.0,1665110.15625,94.31249999999272
2019-10-31,4.0,1723561.4,95.85342741935165
2019-11-30,4.0,1670775.65,91.7336559139876
2019-12-31,4.0,1729415.9,98.47602150536841
2020-01-31,4.0,1732580.5,105.56774193549063
2020-02-29,4.0,1623760.580575,97.34784905913693
2020-03-31,4.0,1738738.5,96.94247352150705
2020-04-30,4.0,1685280.0,78.52258064516354
2020-05-31,4.0,1743960.8,83.59999999999854
2020-06-30,4.0,1690241.2,85.44666666666308
2020-07-31,4.0,1749258.5999999999,87.04688172043097
2020-08-31,4.0,1752099.5999999999,96.29032258064399
2020-09-30,4.0,1698515.8499999999,99.10612903226138
2020-10-31,4.0,1758538.5,120.40677419354324
2020-11-30,4.0,1705298.7096774194,111.4838709677424
2020-12-31,4.0,1765578.5903225807,110.27268817204458
2021-01-31,4.0,1769149.946875,120.4529166666689
2021-02-28,4.0,1600991.503125,96.5789351851854
2021-03-31,4.0,228924.0,9.814814814810234
2021-03-31,5.0,1585.8,89.87142857142857
2021-04-30,5.0,4746.349999999999,109.95190476190474
2021-05-31,5.0,8443.738461538462,113.79974358974363
2021-06-30,5.0,11176.744871794872,90.51025641025643
2021-07-31,5.0,13517.016666666666,50.10666666666663
2021-08-31,5.0,15910.75,92.16000000000003
2021-09-30,5.0,18075.0,85.93548387096769
2021-10-31,5.0,21754.899999999998,112.60645161290324
2021-11-30,5.0,24345.0,106.0580645161291
2021-12-31,5.0,28819.15,129.71562499999993
2022-01-31,5.0,32591.1,113.63598790322578
2022-02-28,5.0,32450.690322580645,102.1548387096775
2022-03-31,5.0,39199.809677419355,108.51497695852527
2022-04-30,5.0,40831.25,85.1619047619049
2022-05-31,5.0,44785.700000000004,82.8166666666666
2022-06-30,5.0,45686.046,66.94799999999987
2022-07-31,5.0,48217.654,22.22199999999998
2022-08-31,5.0,50163.93805970149,85.68522388059705
2022-09-30,5.0,51013.701492537315,79.16417910447763
2022-10-31,5.0,55209.14925373134,81.8029850746268
2022-11-30,5.0,55973.98042479908,87.0391504018371
2022-12-31,5.0,61063.93076923077,122.70512820512818
2023-01-31,5.0,64727.128125,111.37708333333353
2023-02-28,5.0,61517.197737068964,107.48038793103433
2023-03-31,5.0,71646.75747126437,120.30919540229843
2023-04-30,5.0,72525.59444444445,89.3888888888896
