date,id_meter,gas_m3,calc_cons
2014-09-30,1.0,1051509.6459,81.10030526315677
2014-10-31,1.0,1210733.1176526316,122.64513684210397
2014-11-30,1.0,1175297.2203157896,118.68884210526448
2014-12-31,1.0,1218680.5210861245,180.90139760766033
2015-01-31,1.0,1224213.4250454546,120.21503818181372
2015-02-28,1.0,1108086.83384,76.22383999999875
2015-03-31,1.0,1229299.94824,84.39068000000407
2015-04-30,1.0,1192135.9974,81.66839999999502
2015-05-31,1.0,1234447.77972,84.39068000000407
2015-06-30,1.0,1197117.7698,81.66839999999502
2015-07-31,1.0,1238359.9668285714,9.43690857142792
2015-08-31,1.0,1238954.2114571428,26.01918571429269
2015-09-30,1.0,1199755.9322142857,25.179857142858964
2015-10-31,1.0,1241262.909,72.56932857142237
2015-11-30,1.0,1203409.935,71.72999999999593
2015-12-31,1.0,1246299.2765,96.5355625000011
2016-01-31,1.0,1250042.2625,159.1998920454571
2016-02-29,1.0,1174127.8255,159.31104545454582
2016-03-31,1.0,1259670.1409999998,136.92485483871133
2016-04-30,1.0,1222463.767,100.39871182795468
2016-05-31,1.0,1265736.287,55.10954623656289
2016-06-30,1.0,1226200.5775,33.37055376343778
2016-07-31,1.0,1268058.686,30.286476190478425
2016-08-31,1.0,1268993.0865,29.221507142850896
2016-09-30,1.0,1229329.117766055,60.66065733945288
2016-10-31,1.0,1272422.3869357798,70.778119266055
2016-11-30,1.0,1233465.599587156,68.49495412844408
2016-12-31,1.0,1276739.8522110092,70.778119266055
2017-01-31,1.0,1277888.2917600002,5.422984999997425
2017-02-28,1.0,1154366.17919,4.8981800000037765
2017-03-31,1.0,1278208.2478750001,5.422984999997425
2017-04-30,1.0,1237135.789275,5.248050000001967
2017-05-31,1.0,1278539.04996,5.422984999997425
2017-06-30,1.0,1237455.920325,5.248050000001967
2017-07-31,1.0,1278900.979115,10.211765000000014
2017-08-31,1.0,1279624.7680000002,33.43614285714284
2017-09-30,1.0,1239412.9170000001,38.24148872180376
2017-10-31,1.0,1282037.019,44.800110356540245
2017-11-30,1.0,1242806.358,105.36625806451048
2017-12-31,1.0,1288513.723,158.82161290322256
2018-01-31,1.0,1293133.017,138.91496774194093
2018-02-28,1.0,1172234.2925,164.84231221197842
2018-03-31,1.0,1302523.1570000001,136.40817165899352
2018-04-30,1.0,1263227.5795,46.60290215053101
2018-05-31,1.0,1306545.21,34.35638817204017
2018-06-30,1.0,1265351.0259999998,29.9564229390744
2018-07-31,1.0,1308367.6959090908,23.713313131309405
2018-08-31,1.0,1309100.173965909,24.084784090911853
2018-09-30,1.0,1267689.658125,29.996250000003783
2018-10-31,1.0,1311130.0385,51.75061413043295
2018-11-30,1.0,1271555.2788529412,124.20249616368528
2018-12-31,1.0,1318180.980647059,145.6881470588196
2019-01-31,1.0,1323244.991,181.02219829221576
2019-02-28,1.0,1199503.8048,125.99861935483932
2019-03-31,1.0,1331885.7982,123.79135172413953
2019-04-30,1.0,1291663.2094999999,60.38908160919527
2019-05-31,1.0,1336346.8639999998,46.65507634408277
2019-06-30,1.0,1294404.64625,31.517373655915435
2019-07-31,1.0,1338457.6403611111,26.27280555555626
2019-08-31,1.0,1339365.7317638888,34.5439861111081
2019-09-30,1.0,1297325.383125,41.66625000000931
2019-10-31,1.0,1342095.457,56.77855241934594
2019-11-30,1.0,1301702.717,136.1414559139812
2019-12-31,1.0,1349704.589,158.60828602150286
2020-01-31,1.0,1354770.004,167.69096774193895
2020-02-29,1.0,1272020.70009,147.3096479032247
2020-03-31,1.0,1363957.197,131.01948112903483
2020-04-30,1.0,1322733.822,54.30528387096274
2020-05-31,1.0,1368335.794,45.65784516129497
2020-06-30,1.0,1325327.933,30.071888172038598
2020-07-31,1.0,1370331.068,23.666466666669294
2020-08-31,1.0,1371023.444,21.23341935483768
2020-09-30,1.0,1327615.2145,33.395547311825794
2020-10-31,1.0,1373485.045,70.41642043011234
2020-11-30,1.0,1331899.4070967743,109.75741935484257
2020-12-31,1.0,1380376.396903226,153.33626021505188
2021-01-31,1.0,1386051.78509375,210.24974583333096
2021-02-28,1.0,1257063.17740625,154.13703935185185
2021-03-31,1.0,1396155.991,132.99021266427735
2021-04-30,1.0,1354928.4285,122.14083548387134
2021-05-31,1.0,1403053.121875,69.04134999999951
2021-06-30,1.0,1359305.874725,32.61454999999842
2021-07-31,1.0,1405173.4684,9.223799999999756
2021-08-31,1.0,1405863.237,31.64839999999822
2021-09-30,1.0,1361538.15,36.487741935488884
2021-10-31,1.0,1408648.1870000002,74.8304516128992
2021-11-30,1.0,1366556.73,147.18580645161273
2021-12-31,1.0,1417254.7604999999,181.4245937500018
2022-01-31,1.0,1422684.319,168.86950302419427
2022-02-28,1.0,1289493.595419355,152.14929032258078
2022-03-31,1.0,1431502.8020806452,88.44200576036383
2022-04-30,1.0,1387466.859,65.03520714285696
2022-05-31,1.0,1435204.815909091,31.346490909098065
2022-06-30,1.0,1389723.274590909,21.815909090903006
2022-07-31,1.0,1436361.917,5.6754000000073574
2022-08-31,1.0,1436849.500477612,22.572391044770484
2022-09-30,1.0,1391339.8119402984,31.753432835823332
2022-10-31,1.0,1438718.5680298507,32.811880597007985
2022-11-30,1.0,1394092.2933983926,94.75720321469998
2022-12-31,1.0,1444835.233153846,171.69352564102883
2023-01-31,1.0,1450020.7588125,158.84654166666587
2023-02-28,1.0,1313666.8468771551,124.68693534482736
2023-03-31,1.0,1458468.2787770114,138.15775632183795
2023-04-30,1.0,1414429.2656444444,50.447822222224204
2023-05-31,1.0,1462641.7808888888,33.412628352489264
